,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
2011-01-01,-0.6014943247384622,-0.30979674571245497,23.07943469577272,61.81247920117618,35.26175834442992,11.20720062506978,26.845191940715196,37.82480591014138,24.689776132084006,9.014646801019467,29.68,69.42,38.17217132096433,68.99693868294389,38.72121639562261,42.1039389718375,11.884297160885275,48.88168871016763,-0.18347807228502064,-0.11475737474245036
2011-02-01,-0.821393297095496,-0.41096046264465214,23.321401475438915,61.98008359373668,35.58442199759121,11.407987994955237,27.176042606807705,38.039145052587976,24.719372328993767,9.225552415006522,29.79,69.78,38.56769236710482,69.25819280103508,39.04410422952128,42.542817451801206,12.090816550588219,49.278813285587226,-0.16960885302818718,-0.10609223837931508
2011-03-01,-0.5097687079279101,-0.3032700542974745,23.67,61.77,36.0,11.33,28.2,38.18,24.55,9.14,29.92,70.14,39.7,70.54,39.49,44.17,12.48,49.87,-0.15274823353948766,-0.09310683479921626
2011-04-01,-0.644740860949776,0.45708949554774914,23.30161808023525,61.16799168931498,34.90794532366077,11.248797473125185,26.572867958451084,37.4464644076512,24.030777856306763,9.09596182674023,29.26,69.25,37.73748555370499,68.52869780746016,38.367506693212086,41.6723377901318,12.086511891689497,48.59611040874906,-0.08149851892595096,-0.10084890111234013
2011-05-01,-0.25720407501711673,4.063086502324454,21.920476221239223,57.80082108733119,31.324023132728424,9.576990366422704,23.09023121135717,34.60037904009124,21.65626920362618,7.47995129598808,26.775,66.56,33.20741459140334,65.12361064173027,34.74448244628273,36.67134639153665,10.94799058226187,44.70533823047705,0.24592383372556884,-0.1267463389602279
2011-06-01,-0.06738668654469519,5.107357128721327,16.555,48.28,19.89,4.99,13.04,26.815,17.0,5.3100000000000005,21.18,54.67,18.03,54.305,23.39,21.705,6.19,31.86,0.5235801643378626,-0.13377212970345523
2011-07-01,1.729094129731365,1.9451751381632942,18.528308080369932,49.73703632815844,20.67,5.9488371482896785,14.008526494745752,27.22821579936091,15.12,3.8799370643687077,22.13,56.0,21.651451716781388,55.89902829068048,24.14,24.492668546457963,8.137726697575644,33.736880646760255,0.6891949589929918,-0.13966777299456218
2011-08-01,1.963085565611037,-0.15315615175292394,20.40783465827671,53.39379336444493,25.935035560244483,7.9941885554076055,18.178638323569338,30.511880471159742,18.97046789408523,5.8993428650517,24.715,59.675,26.98395131488615,59.864097396480524,29.461910154646787,30.347074823733514,9.703229694472256,38.50807761372342,0.7098628151404299,-0.092113670729232
2011-09-01,0.9336254737141891,-0.3685369684472791,21.579308647205746,55.536355336676685,28.616949540744894,9.188938438838152,20.764610999695762,32.527043063694485,20.236004849576144,7.095877246350728,26.07,62.395,30.25129420831596,62.34604099991812,32.13897922530898,33.86726051921013,10.682486296347129,41.57000977980349,0.7138060245369805,-0.022729399542455248
2011-10-01,-0.7033296495897943,-0.30653340000496476,22.191111081418754,56.46370111051085,29.739353223538888,9.831068973899422,21.896386328880652,33.37834931128998,20.806422604925235,7.734228511207117,26.81,63.21,31.690577141163523,63.348118893579105,33.27960954321787,35.49212612219116,11.19564577174869,42.82514859700162,0.7276752437938141,-0.03433664747896079
2011-11-01,-0.8978717923663062,-0.3456935484948475,22.67,56.2,30.25,10.43,22.64,33.88,20.78,8.75,27.21,64.24,32.25,63.6,33.74,35.98,11.12,43.8,0.7390969537700299,-0.04245099614119732
2011-12-01,-0.8202914353167549,-0.43380388259708375,23.385834653469836,58.26487336006125,32.18624102220997,10.970427605084081,24.272684443075548,35.1695062325932,21.752344156831356,8.892432077800084,27.91,65.84,34.65416820877669,65.56354996175551,35.71736601909386,38.68349314287635,12.200640968199867,45.6726208627914,0.7450797542337618,-0.058139638374143376
